,0,1,2
147,뮬란,https://movie-phinf.pstatic.net/20170418_224/14924959729190qmlM_JPEG/movie_image.jpg?type=m203_290_2,['Animation' 'Family' 'Adventure' 'Musical' 'Comedy']
148,"님아, 그 강을 건너지 마오",https://movie-phinf.pstatic.net/20141103_255/1414988497460e1QB6_JPEG/movie_image.jpg?type=m203_290_2,['Documentary']
149,마이너리티 리포트,https://movie-phinf.pstatic.net/20111222_144/1324533525558LSVPi_JPEG/movie_image.jpg?type=m203_290_2,['SF' 'Drama' 'Mystery' 'Crime' 'Action']
150,갓파 쿠와 여름방학을,https://movie-phinf.pstatic.net/20160725_78/1469413892794fLdOz_JPEG/movie_image.jpg?type=m203_290_2,['Animation']
151,칼리토,https://movie-phinf.pstatic.net/20111223_2/132457122756564rvt_JPEG/movie_image.jpg?type=m203_290_2,['Crime' 'Drama' 'Thriller']
152,특전 유보트,https://movie-phinf.pstatic.net/20111222_141/1324536869683R5pd4_JPEG/movie_image.jpg?type=m203_290_2,['Drama' 'War']
153,빽 투 더 퓨쳐 2,https://movie-phinf.pstatic.net/20150924_127/14430563852692a3lU_JPEG/movie_image.jpg?type=m203_290_2,['SF' 'Comedy']
154,"광해, 왕이 된 남자",https://movie-phinf.pstatic.net/20121018_114/13505269047497LGt6_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
155,오즈의 마법사,https://movie-phinf.pstatic.net/20120413_193/1334280943654doGnb_JPEG/movie_image.jpg?type=m203_290_2,['Family' 'Fantasy' 'Adventure' 'Musical']
156,이웃집 토토로,https://movie-phinf.pstatic.net/20111221_267/1324474553706Ujj6Q_JPEG/movie_image.jpg?type=m203_290_2,['Animation' 'Family' 'Fantasy']
157,밴디트,https://movie-phinf.pstatic.net/20111222_138/13244869817719ruwx_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
158,대부 2,https://movie-phinf.pstatic.net/20111223_88/1324622907332GllPU_JPEG/movie_image.jpg?type=m203_290_2,['Crime' 'Drama']
159,페이스 오프,https://movie-phinf.pstatic.net/20111221_276/1324478294709bFeIq_JPEG/movie_image.jpg?type=m203_290_2,['Action']
160,이집트 왕자,https://movie-phinf.pstatic.net/20111227_69/1324974580530LUVz9_JPEG/movie_image.jpg?type=m203_290_2,['Animation' 'Family' 'Adventure']
161,시스터 액트,https://movie-phinf.pstatic.net/20111222_25/1324491158070GlUGb_JPEG/movie_image.jpg?type=m203_290_2,['Comedy' 'Crime' 'Musical' 'Action']
162,똥파리,https://movie-phinf.pstatic.net/20111223_38/1324584197213BqKNm_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
163,타인의 삶,https://movie-phinf.pstatic.net/20130115_55/13582135898186wXUP_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
164,아저씨,https://movie-phinf.pstatic.net/20111223_67/1324619531349Xc7vj_JPEG/movie_image.jpg?type=m203_290_2,['Action' 'Crime' 'Drama']
165,가타카,https://movie-phinf.pstatic.net/20111222_69/1324541836762R8tql_JPEG/movie_image.jpg?type=m203_290_2,['SF' 'Drama' 'Thriller']
166,벤허,https://movie-phinf.pstatic.net/20160602_120/1464833950838u5J29_JPEG/movie_image.jpg?type=m203_290_2,['Drama' 'Action' 'Adventure' 'Romance']
167,8월의 크리스마스,https://movie-phinf.pstatic.net/20131024_116/13826089621478XXIl_JPEG/movie_image.jpg?type=m203_290_2,['Drama' 'Romance']
